UTC,HARD_C,MEAN_H_E
2024-10-03 23:02:15,412,62.30042827532495
2024-10-03 23:02:20,239,56.603946809394785
2024-10-03 23:02:22,195,49.35752620503615
2024-10-03 23:02:28,385,62.76525959069188
2024-10-03 23:02:37,188,58.61100769530722
2024-10-03 23:02:39,234,66.3680219374759
2024-10-03 23:02:42,263,51.91714354723781
2024-10-03 23:02:44,131,49.28748117118882
2024-10-03 23:02:49,350,63.73206228713602
2024-10-03 23:02:52,82,50.898311347043936
2024-10-03 23:02:58,480,49.61322838070408
2024-10-03 23:03:03,374,58.42113594360394
2024-10-03 23:03:12,363,65.64499894612703
2024-10-03 23:03:20,391,65.17468909754751
2024-10-03 23:03:26,74,56.61713640853547
2024-10-03 23:03:28,327,59.520195223785514
2024-10-03 23:03:35,52,59.5436528296295
2024-10-03 23:03:36,345,66.1706457980085
2024-10-03 23:03:41,196,44.676813764262505
2024-10-03 23:03:43,210,58.82843160394362
2024-10-03 23:03:48,48,73.67900603922847
2024-10-03 23:03:49,320,61.09387030944767
2024-10-03 23:03:55,347,54.60992818913626
2024-10-03 23:03:56,52,52.3052162949414
2024-10-03 23:04:04,403,68.304980400802
2024-10-03 23:04:11,140,59.81510039993961
2024-10-03 23:04:14,296,55.6740949757667
2024-10-03 23:04:19,416,50.6006375943535
2024-10-03 23:04:24,199,56.57465656342608
2024-10-03 23:04:25,260,53.90679823422208
2024-10-03 23:04:29,183,52.02729751225066
2024-10-03 23:04:32,221,63.59749829984878
2024-10-03 23:04:37,348,71.23140522547051
2024-10-03 23:04:46,108,65.40011473013435
2024-10-03 23:04:47,265,62.608647800166295
2024-10-03 23:04:51,408,47.122964593317505
2024-10-03 23:04:53,73,67.51966377428039
2024-10-03 23:05:00,285,62.25745252160225
2024-10-03 23:05:02,158,44.43662786557332
2024-10-03 23:05:06,296,46.3144372779453
2024-10-03 23:05:08,159,57.25181184451132
2024-10-03 23:05:12,438,52.91311334035257
2024-10-03 23:05:14,32,55.27051714179501
2024-10-03 23:05:19,425,57.3350168270856
2024-10-03 23:05:26,134,54.62929605078596
2024-10-03 23:05:28,302,55.54471598996296
2024-10-03 23:05:34,377,63.39931210634814
2024-10-03 23:05:42,356,65.53307954614955
2024-10-03 23:05:51,353,70.53473983620697
2024-10-03 23:05:54,55,62.51000982989253
2024-10-03 23:05:58,463,41.82661492670315
2024-10-03 23:06:00,365,38.005376198615004
2024-10-03 23:06:04,103,46.66866542667286
2024-10-03 23:06:07,362,58.14488410189998
2024-10-03 23:06:10,25,47.26848307082901
2024-10-03 23:06:15,35,50.25224222665774
2024-10-03 23:06:16,402,56.23494332369025
2024-10-03 23:06:23,402,59.602274358116084
2024-10-03 23:06:29,409,56.60720461548236
2024-10-03 23:06:36,411,50.11166864792191
2024-10-03 23:06:41,52,49.508412285296416
2024-10-03 23:06:42,370,51.72790116546468
2024-10-03 23:06:49,410,61.434525429924996
2024-10-03 23:06:56,287,59.22248202529535
2024-10-03 23:06:57,120,54.09685042121178
2024-10-03 23:07:04,412,56.63145844212496
2024-10-03 23:07:11,294,56.76081514441907
2024-10-03 23:07:12,159,54.854579136972916
2024-10-03 23:07:19,435,60.992560443473245
2024-10-03 23:07:27,52,54.26601690468735
2024-10-03 23:07:29,350,58.7049236006568
2024-10-03 23:07:34,439,52.37218729467295
2024-10-03 23:07:41,418,60.397529283789666
2024-10-03 23:07:48,423,57.40636932613072
2024-10-03 23:07:55,227,54.20369259642232
2024-10-03 23:07:56,228,58.787276234619554
2024-10-03 23:08:03,115,71.007693810592
2024-10-03 23:08:04,270,67.5536763855499
2024-10-03 23:08:10,305,56.30681500591288
2024-10-03 23:08:12,112,51.41102968932797
2024-10-03 23:08:17,374,64.38843276492214
2024-10-03 23:08:26,34,49.61649399738776
2024-10-03 23:08:27,379,62.64553744789657
2024-10-03 23:08:33,434,53.28283846547626
2024-10-03 23:08:41,431,62.500673170855244
2024-10-03 23:08:49,345,66.63966195243977
2024-10-03 23:08:55,394,61.75071609162065
2024-10-03 23:08:57,12,74.69465442651013
2024-10-03 23:09:03,408,62.24291159425608
2024-10-03 23:09:11,101,57.148003972936884
2024-10-03 23:09:13,315,58.96905643710232
2024-10-03 23:09:20,444,53.89204605194226
2024-10-03 23:09:24,93,54.5602779963814
2024-10-03 23:09:26,313,56.93668491255426
2024-10-03 23:09:32,187,59.80126438195845
2024-10-03 23:09:33,214,63.42122632328373
2024-10-03 23:09:41,463,47.64608548272213
2024-10-03 23:09:46,295,56.093356334753516
2024-10-03 23:09:47,167,49.68904625839901
2024-10-03 23:09:53,391,60.764199175276005
2024-10-03 23:10:00,394,54.691302777627655
2024-10-03 23:10:07,416,58.28096941004483
2024-10-03 23:10:15,260,60.21689935334092
2024-10-03 23:10:16,167,68.66492091790583
2024-10-03 23:10:21,369,53.795577620996404
2024-10-03 23:10:22,88,63.64488011098453
2024-10-03 23:10:28,382,56.64907272826137
2024-10-03 23:10:29,19,52.30558034026659
2024-10-03 23:10:36,24,63.47277680554848
2024-10-03 23:10:37,382,65.117296895881
2024-10-03 23:10:43,183,54.36325850448867
2024-10-03 23:10:44,259,51.83837928506848
2024-10-03 23:10:50,361,66.89405071636135
2024-10-03 23:10:51,9,70.33319360331616
2024-10-03 23:10:59,382,62.14443721306673
2024-10-03 23:11:05,411,61.24393932025815
2024-10-03 23:11:11,425,47.708186258777964
2024-10-03 23:11:12,30,74.44333348950744
2024-10-03 23:11:18,390,57.07602476086123
2024-10-03 23:11:22,393,50.83070093934502
2024-10-03 23:11:25,19,51.72697169402252
2024-10-03 23:11:31,388,63.71528694099057
2024-10-03 23:11:36,108,52.30147875987842
2024-10-03 23:11:38,324,54.59850073397834
2024-10-03 23:11:45,381,56.60995616525478
2024-10-03 23:11:46,9,102.89953250532605
2024-10-03 23:11:51,246,58.15545629183126
2024-10-03 23:11:53,174,49.41389770324882
2024-10-03 23:11:57,339,49.024663145410386
2024-10-03 23:11:58,97,62.14032328104127
2024-10-03 23:12:04,75,70.20861794915261
2024-10-03 23:12:05,326,59.44949170649976
2024-10-03 23:12:11,434,62.662216620078425
2024-10-03 23:12:19,126,56.044888316346075
2024-10-03 23:12:21,290,66.2948692672474
2024-10-03 23:12:25,311,49.17492556102619
2024-10-03 23:12:28,98,66.89641998186072
2024-10-03 23:12:34,316,56.75682791155713
2024-10-03 23:12:35,95,54.549250225792726
2024-10-03 23:12:41,208,57.547481653435334
2024-10-03 23:12:42,209,59.642140916099386
2024-10-03 23:12:48,280,50.53228477370581
2024-10-03 23:12:49,121,66.06398890689184
2024-10-03 23:12:54,113,51.15490704435172
2024-10-03 23:12:56,301,57.06486916596376
2024-10-03 23:13:02,216,50.98338106769231
2024-10-03 23:13:03,204,56.93743678557975
2024-10-03 23:13:09,405,57.439575889106045
2024-10-03 23:13:16,436,58.07696968789639
2024-10-03 23:13:24,419,66.3928700913742
2024-10-03 23:13:31,398,63.50885312334377
2024-10-03 23:13:39,101,65.722598236116
2024-10-03 23:13:41,245,63.81035514384356
2024-10-03 23:13:47,309,55.897326573684374
2024-10-03 23:13:48,122,65.9509445870714
2024-10-03 23:13:55,11,74.51538081390805
2024-10-03 23:13:56,373,66.36710348177876
2024-10-03 23:14:02,442,51.60577122669146
2024-10-03 23:14:03,19,65.32198870968814
2024-10-03 23:14:09,279,63.56125543757842
2024-10-03 23:14:10,133,57.38768711965459
2024-10-03 23:14:17,331,65.01411118412335
2024-10-03 23:14:18,27,44.56092934844177
2024-10-03 23:14:25,474,49.19212715216886
2024-10-03 23:14:32,113,60.95948557076727
2024-10-03 23:14:33,255,57.68740399770432
2024-10-03 23:14:40,139,60.391902670511996
2024-10-03 23:14:42,261,59.329656240874975
2024-10-03 23:14:48,301,51.490411419979615
2024-10-03 23:14:49,163,52.23233403155886
2024-10-03 23:14:51,165,45.37454598024567
2024-10-03 23:14:55,324,46.47297589300033
2024-10-03 23:14:59,345,60.58172038222044
2024-10-03 23:15:07,111,61.63389869666123
2024-10-03 23:15:10,277,61.638575591361835
2024-10-03 23:15:15,436,54.56573901259793
2024-10-03 23:15:21,54,35.23535726958207
2024-10-03 23:15:24,423,52.70249627963773
2024-10-03 23:15:26,398,49.46198163951531
2024-10-03 23:15:28,38,36.71350673284773
2024-10-03 23:15:33,429,54.970219094959496
2024-10-03 23:15:40,396,62.36159194056814
2024-10-03 23:15:48,367,61.20728812165938
2024-10-03 23:15:51,32,84.3719221733245
2024-10-03 23:15:55,68,47.05588042356278
2024-10-03 23:15:56,367,48.03075234837389
2024-10-03 23:16:02,242,62.257607474844654
2024-10-03 23:16:03,163,71.69206453034961
2024-10-03 23:16:10,293,71.0513473773394
2024-10-03 23:16:11,41,76.6545515785532
2024-10-03 23:16:18,343,61.14913885770516
2024-10-03 23:16:20,60,60.85756640410081
2024-10-03 23:16:23,418,49.658934711595364
2024-10-03 23:16:25,31,72.47026072050922
2024-10-03 23:16:32,427,59.969232234485354
2024-10-03 23:16:40,341,62.625534704476884
2024-10-03 23:16:41,74,49.50088800088473
2024-10-03 23:16:46,109,57.65097686008663
2024-10-03 23:16:47,338,51.45220545291884
2024-10-03 23:16:53,313,54.113947295334846
2024-10-03 23:16:54,117,64.49031589178696
2024-10-03 23:17:01,53,60.49031170241041
2024-10-03 23:17:03,346,60.725742348594444
2024-10-03 23:17:09,391,53.41340966858945
2024-10-03 23:17:10,27,74.01329284761354
2024-10-03 23:17:16,237,63.749302655059964
2024-10-03 23:17:18,146,58.0710113154798
2024-10-03 23:17:23,219,51.8185351313389
2024-10-03 23:17:25,255,48.227264941505084
2024-10-03 23:17:31,236,63.20964807731912
2024-10-03 23:17:32,221,50.10528179703167
2024-10-03 23:17:36,100,55.20306663086249
2024-10-03 23:17:38,357,53.780597794995714
2024-10-03 23:17:44,399,66.10951517319488
2024-10-03 23:17:52,367,61.457626619285485
2024-10-03 23:18:00,198,69.75425287262419
2024-10-03 23:18:01,181,55.33711044833268
2024-10-03 23:18:08,451,57.31411138128958
2024-10-03 23:18:15,266,58.149716088320005
2024-10-03 23:18:16,157,56.490655182956424
2024-10-03 23:18:21,21,57.83180217733356
2024-10-03 23:18:22,355,57.998316278978386
2024-10-03 23:18:28,431,58.283737490230344
2024-10-03 23:18:35,281,64.75442207457566
2024-10-03 23:18:37,118,68.88721142969514
2024-10-03 23:18:43,108,56.54503121587687
2024-10-03 23:18:44,322,50.917565325430886
2024-10-03 23:18:51,427,57.621782544315
2024-10-03 23:18:52,10,49.22855250956821
